"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","ARIMA_model","Beans","Retail","Dambulla","Test",-337.258787207755,350.351099828956,337.258787207755,-95.838874063577,95.838874063577,NA,NA,0.74851973785787
"2","ARIMA_model","Beans","Retail","Pettah","Test",-422.287720587078,435.427505805166,422.287720587078,-97.1082679374311,97.1082679374311,NA,NA,0.844339440154387
"3","ARIMA_model","Beans","Wholesale","Dambulla","Test",-342.092663032612,355.350424657595,342.092663032612,-106.768411438932,106.768411438932,NA,NA,0.751094853589738
"4","ARIMA_model","Beans","Wholesale","Pettah","Test",-367.561113969243,379.41752728228,367.561113969243,-97.0928138133673,97.0928138133673,NA,NA,0.800807796792715
"5","ARIMA_model","Big Onion (Imp)","Retail","Dambulla","Test",-27.6062182745808,31.1096776344451,28.8888250018756,-17.353221286715,17.9696775541275,NA,NA,0.617858102720105
"6","ARIMA_model","Big Onion (Imp)","Retail","Pettah","Test",-55.8499449754562,58.157668690549,56.0926565528352,-32.7335651415593,32.8346949654672,NA,NA,0.824744626252601
"7","ARIMA_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-26.984634359295,30.5273583925648,28.3749809903172,-19.4221353160934,20.1623633618855,NA,NA,0.612640468816007
"8","ARIMA_model","Big Onion (Imp)","Wholesale","Pettah","Test",-43.4267252646912,44.8295857197121,43.4267252646912,-32.00273259443,32.00273259443,NA,NA,0.829388574270372
"9","ARIMA_model","Brinjal","Retail","Dambulla","Test",-333.349812417546,344.519773499227,333.349812417546,-169.238508580403,169.238508580403,NA,NA,0.876906969588441
"10","ARIMA_model","Brinjal","Retail","Pettah","Test",-200.18550277533,223.43205623988,201.620341430323,-103.054190307912,103.341158038911,NA,NA,0.920118638864784
"11","ARIMA_model","Brinjal","Wholesale","Dambulla","Test",-333.496668560099,344.659094065116,333.496668560099,-201.667326086547,201.667326086547,NA,NA,0.877130481993701
"12","ARIMA_model","Brinjal","Wholesale","Pettah","Test",-199.915958092899,222.915756915222,201.38211945819,-141.615501271334,141.941314908065,NA,NA,0.92255670050546
"13","ARIMA_model","Cabbage","Retail","Dambulla","Test",-68.4676421397125,80.9151924144969,68.7443669972749,-45.0626750413944,45.1651657293805,NA,NA,0.89253002657584
"14","ARIMA_model","Cabbage","Retail","Pettah","Test",-119.420289855072,131.323314320261,119.420289855072,-60.1085892167902,60.1085892167902,NA,NA,0.941921904013079
