"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","NAIVE_model","Beans","Retail","Dambulla","Test",-334.63768115942,347.83158695561,334.63768115942,-95.1386696389606,95.1386696389606,NA,NA,0.748467054905919
"2","NAIVE_model","Beans","Retail","Pettah","Test",-424.275362318841,437.502582465256,424.275362318841,-97.5726952295445,97.5726952295445,NA,NA,0.838337443469934
"3","NAIVE_model","Beans","Wholesale","Dambulla","Test",-334.63768115942,347.83158695561,334.63768115942,-104.526144759733,104.526144759733,NA,NA,0.748467054905919
"4","NAIVE_model","Beans","Wholesale","Pettah","Test",-384.782608695652,396.320251246168,384.782608695652,-101.468027316048,101.468027316048,NA,NA,0.802345612774222
"5","NAIVE_model","Big Onion (Imp)","Retail","Dambulla","Test",-38.1739130434783,40.8107730519951,38.5507246376812,-23.7353623252001,23.9151945702497,NA,NA,0.595038988639838
"6","NAIVE_model","Big Onion (Imp)","Retail","Pettah","Test",-63.768115942029,66.1246115464878,63.768115942029,-37.3267044101972,37.3267044101972,NA,NA,0.835943636203505
"7","NAIVE_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-38.1739130434783,40.8107730519951,38.5507246376812,-27.1209515933146,27.3197603636215,NA,NA,0.595038988639838
"8","NAIVE_model","Big Onion (Imp)","Wholesale","Pettah","Test",-46.0072463768116,47.3348572728753,46.0072463768116,-33.8708792113623,33.8708792113623,NA,NA,0.823032084541401
"9","NAIVE_model","Brinjal","Retail","Dambulla","Test",-348.297101449275,359.05083194687,348.297101449275,-176.374536364596,176.374536364596,NA,NA,0.873205551337333
"10","NAIVE_model","Brinjal","Retail","Pettah","Test",-193.478260869565,217.376050532085,194.927536231884,-100.060515802313,100.350370874777,NA,NA,0.922953236206854
"11","NAIVE_model","Brinjal","Wholesale","Dambulla","Test",-348.297101449275,359.05083194687,348.297101449275,-210.02769473325,210.02769473325,NA,NA,0.873205551337334
"12","NAIVE_model","Brinjal","Wholesale","Pettah","Test",-194.782608695652,218.253242312022,196.231884057971,-138.53352552598,138.855586717607,NA,NA,0.925043232917868
"13","NAIVE_model","Cabbage","Retail","Dambulla","Test",-70.2173913043478,82.462853595958,70.5072463768116,-46.0584971369606,46.1658508675028,NA,NA,0.892117204369897
"14","NAIVE_model","Cabbage","Retail","Pettah","Test",-119.420289855072,131.323314320261,119.420289855072,-60.1085892167902,60.1085892167902,NA,NA,0.941921904013079
"15","NAIVE_model","Cabbage","Wholesale","Dambulla","Test",-70.036231884058,82.1588518257974,70.3260869565217,-58.050159936968,58.1709328838279,NA,NA,0.890471693130777
"16","NAIVE_model","Cabbage","Wholesale","Pettah","Test",-119.130434782609,130.936486926661,119.130434782609,-81.0009054268312,81.0009054268312,NA,NA,0.941341266140116
"17","NAIVE_model","Carrot","Retail","Dambulla","Test",27.9782608695652,64.0853804802964,51.804347826087,5.8372266953165,17.5741552108719,NA,NA,0.784923291664318
"18","NAIVE_model","Carrot","Retail","Pettah","Test",46.6666666666667,74.8364991938707,63.3333333333333,10.6888680067795,17.4856458114137,NA,NA,0.870789924638548
"19","NAIVE_model","Carrot","Wholesale","Dambulla","Test",27.4710144927536,64.0277576128317,51.6594202898551,5.73801351988813,19.7504999614823,NA,NA,0.78695455605897
"20","NAIVE_model","Carrot","Wholesale","Pettah","Test",47.1014492753623,75.9036967269157,63.768115942029,11.951444654649,20.5236895989381,NA,NA,0.866590654327048
"21","NAIVE_model","Green Chilli","Retail","Dambulla","Test",-656.231884057971,688.985628776732,657.68115942029,-182.915716934474,183.038536880434,NA,NA,0.888758964879686
"22","NAIVE_model","Green Chilli","Retail","Pettah","Test",-485.144927536232,536.75213710246,493.840579710145,-132.822476829368,133.61299066336,NA,NA,0.897201537030023
"23","NAIVE_model","Green Chilli","Wholesale","Dambulla","Test",-656.521739130435,689.334486779653,657.971014492754,-202.355082828672,202.481106773221,NA,NA,0.888863988566579
"24","NAIVE_model","Green Chilli","Wholesale","Pettah","Test",-459.311594202898,507.486393923415,468.007246376811,-154.247753265715,155.117318483106,NA,NA,0.863944473981658
"25","NAIVE_model","Lime","Retail","Dambulla","Test",-88.9782608695652,95.1625947858549,88.9782608695652,-80.1226846267037,80.1226846267037,NA,NA,0.874176534546115
"26","NAIVE_model","Lime","Retail","Pettah","Test",-83.3333333333334,95.8285514471745,83.3333333333334,-60.7990838990681,60.7990838990681,NA,NA,0.958252772874261
"27","NAIVE_model","Lime","Wholesale","Dambulla","Test",-88.9492753623188,95.1874155761042,88.9492753623188,-113.511395948014,113.511395948014,NA,NA,0.874007685967205
"28","NAIVE_model","Lime","Wholesale","Pettah","Test",-83.1884057971014,94.6882264385967,83.1884057971014,-93.9802998625461,93.9802998625461,NA,NA,0.959466361346901
"29","NAIVE_model","Potato (Imp)","Retail","Dambulla","Test",-7.89855072463768,21.7809030834452,19.335652173913,-6.59771176922203,12.4834105574129,NA,NA,0.892161330058872
"30","NAIVE_model","Potato (Imp)","Retail","Pettah","Test",-19.5217391304348,25.3763377744027,20.7101449275362,-11.7656511582688,12.2980414370902,NA,NA,0.825640665949688
"31","NAIVE_model","Potato (Imp)","Wholesale","Dambulla","Test",-8.04347826086956,21.8804836604996,19.4805797101449,-7.94014624230808,14.5058537799092,NA,NA,0.89609604106141
"32","NAIVE_model","Potato (Imp)","Wholesale","Pettah","Test",-11.5434782608696,20.3363946614459,17.4275362318841,-8.57556839855549,11.7773576441247,NA,NA,0.821366778367977
"33","NAIVE_model","Pumpkin","Retail","Dambulla","Test",-9.71014492753623,19.7152689300833,16.9565217391304,-9.76187618155818,14.5149038300057,NA,NA,0.739184814856734
"34","NAIVE_model","Pumpkin","Retail","Pettah","Test",-40.1449275362319,48.1300740295188,40.1449275362319,-28.486858281396,28.486858281396,NA,NA,0.931569393142073
"35","NAIVE_model","Pumpkin","Wholesale","Dambulla","Test",-9.71014492753623,19.7152689300833,16.9565217391304,-13.8072447254689,19.7266819775969,NA,NA,0.739184814856734
"36","NAIVE_model","Pumpkin","Wholesale","Pettah","Test",-27.8260869565217,35.5189273894715,28.1159420289855,-34.0844601383354,34.2914994758095,NA,NA,0.913029423091519
"37","NAIVE_model","Snake gourd","Retail","Dambulla","Test",-96.3405797101449,116.743279544651,99.8188405797101,-67.5301289244099,68.6499440420662,NA,NA,0.904162539534971
"38","NAIVE_model","Snake gourd","Retail","Pettah","Test",-302.608695652174,313.463610240372,302.608695652174,-145.957643841409,145.957643841409,NA,NA,0.939964480786869
"39","NAIVE_model","Snake gourd","Wholesale","Dambulla","Test",-96.1231884057971,116.413321552057,98.8768115942029,-86.2755783321997,87.2870156460418,NA,NA,0.91003284900702
"40","NAIVE_model","Snake gourd","Wholesale","Pettah","Test",-302.028985507246,313.130546725728,302.028985507246,-197.882666607922,197.882666607922,NA,NA,0.938005983850756
"41","NAIVE_model","Tomato","Retail","Dambulla","Test",-123.913043478261,190.128256253738,162.898550724638,-103.236522786734,111.457180211155,NA,NA,0.969901750196288
"42","NAIVE_model","Tomato","Retail","Pettah","Test",-158.695652173913,232.440301414662,197.826086956522,-90.2054961036309,97.0408343034385,NA,NA,0.960248814142881
"43","NAIVE_model","Tomato","Wholesale","Dambulla","Test",-123.985507246377,190.226372163974,162.971014492754,-136.421927116903,145.202598155662,NA,NA,0.969599855235982
"44","NAIVE_model","Tomato","Wholesale","Pettah","Test",-125.217391304348,196.866744212454,168.695652173913,-104.868711117175,113.992521026864,NA,NA,0.964379973691041
"45","NAIVE_model","Potato (Local)","Retail","Dambulla","Test",5.39855072463768,44.0636785914941,38.731884057971,-0.36522912814574,13.0744149872311,NA,NA,0.872418733044412
"46","NAIVE_model","Potato (Local)","Retail","Pettah","Test",26.3333333333333,42.0536119870745,32.2028985507246,5.87601640206293,7.52459192382598,NA,NA,0.944549493963528
"47","NAIVE_model","Potato (Local)","Wholesale","Dambulla","Test",5.43478260869565,44.117606528427,39.0579710144928,-0.560245576874775,14.1694530718049,NA,NA,0.871299804185635
"48","NAIVE_model","Potato (Local)","Wholesale","Pettah","Test",28.3840579710145,46.952066491541,38.2536231884058,6.79102959404796,10.0228833202995,NA,NA,0.953524606131192
"49","NAIVE_model","Big Onion (Local)","Retail","Dambulla","Test",-81.4991304347826,92.068631316338,82.3397101449276,-58.7415775659024,59.073448955981,NA,NA,0.955432040683244
"50","NAIVE_model","Big Onion (Local)","Retail","Pettah","Test",-80.8017391304348,92.9681557449038,80.8017391304348,-70.9071158155069,70.9071158155069,NA,NA,0.956520270923882
"51","NAIVE_model","Big Onion (Local)","Wholesale","Dambulla","Test",-78.8191304347826,88.7539429946718,79.6597101449275,-64.0428787684315,64.403205615741,NA,NA,0.954831419661979
"52","NAIVE_model","Big Onion (Local)","Wholesale","Pettah","Test",-50.9449275362319,58.6168231527583,50.9449275362319,-40.1620000485551,40.1620000485551,NA,NA,0.956518833317476
"53","NAIVE_model","Red Onion (Imp)","Retail","Dambulla","Test",-95.231884057971,106.28022920017,95.9565217391304,-40.1410597603226,40.3292773398445,NA,NA,0.89522193529623
"54","NAIVE_model","Red Onion (Imp)","Retail","Pettah","Test",15.2173913043478,27.5838642183685,15.2173913043478,3.80434782608695,3.80434782608695,NA,NA,0.946040372670807
"55","NAIVE_model","Red Onion (Imp)","Wholesale","Dambulla","Test",-95.1956521739131,106.23462283952,95.9202898550724,-43.876634632711,44.0751655042616,NA,NA,0.895140632948498
"56","NAIVE_model","Red Onion (Imp)","Wholesale","Pettah","Test",-41.1376811594203,50.7443501816933,41.3985507246377,-17.9266401657166,18.0151039472007,NA,NA,0.955367736543215
"57","NAIVE_model","Red Onion (Local)","Retail","Dambulla","Test",-27.7173913043478,43.9111692238853,37.1133333333333,-16.7056181288644,20.2570045494466,NA,NA,0.786666606315019
"58","NAIVE_model","Red Onion (Local)","Retail","Pettah","Test",-47.2979710144927,54.7063168331526,47.2979710144927,-19.3572033327799,19.3572033327799,NA,NA,0.96134757589798
"59","NAIVE_model","Red Onion (Local)","Wholesale","Dambulla","Test",-27.7173913043478,43.9111692238853,37.1133333333333,-18.982146869105,22.8254884477638,NA,NA,0.786666606315019
"60","NAIVE_model","Red Onion (Local)","Wholesale","Pettah","Test",-110.351594202899,120.203802418817,110.351594202899,-59.3237167352473,59.3237167352473,NA,NA,0.955976135772985
