"","Item","Type","Market","NAIVE_model"
"1","Beans","Retail","Dambulla",<NAIVE>
"2","Beans","Retail","Pettah",<NAIVE>
"3","Beans","Wholesale","Dambulla",<NAIVE>
"4","Beans","Wholesale","Pettah",<NAIVE>
"5","Big Onion (Imp)","Retail","Dambulla",<NAIVE>
"6","Big Onion (Imp)","Retail","Pettah",<NAIVE>
"7","Big Onion (Imp)","Wholesale","Dambulla",<NAIVE>
"8","Big Onion (Imp)","Wholesale","Pettah",<NAIVE>
"9","Brinjal","Retail","Dambulla",<NAIVE>
"10","Brinjal","Retail","Pettah",<NAIVE>
"11","Brinjal","Wholesale","Dambulla",<NAIVE>
"12","Brinjal","Wholesale","Pettah",<NAIVE>
"13","Cabbage","Retail","Dambulla",<NAIVE>
"14","Cabbage","Retail","Pettah",<NAIVE>
"15","Cabbage","Wholesale","Dambulla",<NAIVE>
"16","Cabbage","Wholesale","Pettah",<NAIVE>
"17","Carrot","Retail","Dambulla",<NAIVE>
"18","Carrot","Retail","Pettah",<NAIVE>
"19","Carrot","Wholesale","Dambulla",<NAIVE>
"20","Carrot","Wholesale","Pettah",<NAIVE>
"21","Green Chilli","Retail","Dambulla",<NAIVE>
"22","Green Chilli","Retail","Pettah",<NAIVE>
"23","Green Chilli","Wholesale","Dambulla",<NAIVE>
"24","Green Chilli","Wholesale","Pettah",<NAIVE>
"25","Lime","Retail","Dambulla",<NAIVE>
"26","Lime","Retail","Pettah",<NAIVE>
"27","Lime","Wholesale","Dambulla",<NAIVE>
"28","Lime","Wholesale","Pettah",<NAIVE>
"29","Potato (Imp)","Retail","Dambulla",<NAIVE>
"30","Potato (Imp)","Retail","Pettah",<NAIVE>
"31","Potato (Imp)","Wholesale","Dambulla",<NAIVE>
"32","Potato (Imp)","Wholesale","Pettah",<NAIVE>
"33","Pumpkin","Retail","Dambulla",<NAIVE>
"34","Pumpkin","Retail","Pettah",<NAIVE>
"35","Pumpkin","Wholesale","Dambulla",<NAIVE>
"36","Pumpkin","Wholesale","Pettah",<NAIVE>
"37","Snake gourd","Retail","Dambulla",<NAIVE>
"38","Snake gourd","Retail","Pettah",<NAIVE>
"39","Snake gourd","Wholesale","Dambulla",<NAIVE>
"40","Snake gourd","Wholesale","Pettah",<NAIVE>
"41","Tomato","Retail","Dambulla",<NAIVE>
"42","Tomato","Retail","Pettah",<NAIVE>
"43","Tomato","Wholesale","Dambulla",<NAIVE>
"44","Tomato","Wholesale","Pettah",<NAIVE>
"45","Potato (Local)","Retail","Dambulla",<NAIVE>
"46","Potato (Local)","Retail","Pettah",<NAIVE>
"47","Potato (Local)","Wholesale","Dambulla",<NAIVE>
"48","Potato (Local)","Wholesale","Pettah",<NAIVE>
"49","Big Onion (Local)","Retail","Dambulla",<NAIVE>
"50","Big Onion (Local)","Retail","Pettah",<NAIVE>
"51","Big Onion (Local)","Wholesale","Dambulla",<NAIVE>
"52","Big Onion (Local)","Wholesale","Pettah",<NAIVE>
"53","Red Onion (Imp)","Retail","Dambulla",<NAIVE>
"54","Red Onion (Imp)","Retail","Pettah",<NAIVE>
"55","Red Onion (Imp)","Wholesale","Dambulla",<NAIVE>
"56","Red Onion (Imp)","Wholesale","Pettah",<NAIVE>
"57","Red Onion (Local)","Retail","Dambulla",<NAIVE>
"58","Red Onion (Local)","Retail","Pettah",<NAIVE>
"59","Red Onion (Local)","Wholesale","Dambulla",<NAIVE>
"60","Red Onion (Local)","Wholesale","Pettah",<NAIVE>
