"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","SNAIVE_model","Beans","Retail","Dambulla","Test",-552.028985507246,576.149947634659,552.028985507246,-152.747950358932,152.747950358932,NA,NA,0.564615695837457
"2","SNAIVE_model","Beans","Retail","Pettah","Test",-569.202898550725,584.005415802762,569.202898550725,-129.637813933175,129.637813933175,NA,NA,0.460168344873156
"3","SNAIVE_model","Beans","Wholesale","Dambulla","Test",-552.028985507246,576.149947634659,552.028985507246,-167.442708655014,167.442708655014,NA,NA,0.564615695837457
"4","SNAIVE_model","Beans","Wholesale","Pettah","Test",-529.710144927536,543.391463135644,529.710144927536,-138.313939596755,138.313939596755,NA,NA,0.379876798160562
"5","SNAIVE_model","Big Onion (Imp)","Retail","Dambulla","Test",-14.6231884057971,26.7823553747666,21.9565217391304,-9.5064577374979,13.323273282443,NA,NA,0.255834992740684
"6","SNAIVE_model","Big Onion (Imp)","Retail","Pettah","Test",-43.4782608695652,53.9146624406289,47.9228985507246,-25.8771114297526,27.7993618949913,NA,NA,0.649224272624456
"7","SNAIVE_model","Big Onion (Imp)","Wholesale","Dambulla","Test",-14.6231884057971,26.7823553747666,21.9565217391304,-10.9186943444453,15.1826822870332,NA,NA,0.255834992740684
"8","SNAIVE_model","Big Onion (Imp)","Wholesale","Pettah","Test",-32.8913043478261,38.3329368347484,34.731884057971,-24.4707223529833,25.535890631696,NA,NA,0.659347465671748
"9","SNAIVE_model","Brinjal","Retail","Dambulla","Test",-337.427536231884,352.738900329687,337.427536231884,-171.13118441474,171.13118441474,NA,NA,0.778896269443058
"10","SNAIVE_model","Brinjal","Retail","Pettah","Test",-327.536231884058,350.952698551087,327.536231884058,-159.354229091525,159.354229091525,NA,NA,0.717772000954344
"11","SNAIVE_model","Brinjal","Wholesale","Dambulla","Test",-337.427536231884,352.738900329687,337.427536231884,-203.833758294385,203.833758294385,NA,NA,0.778896269443058
"12","SNAIVE_model","Brinjal","Wholesale","Pettah","Test",-328.840579710145,351.973956686439,328.840579710145,-217.976283445242,217.976283445242,NA,NA,0.718057115516511
"13","SNAIVE_model","Cabbage","Retail","Dambulla","Test",-69.4927536231884,83.6234428506917,69.6376811594203,-45.8200746622586,45.8792287586798,NA,NA,0.843077799957419
"14","SNAIVE_model","Cabbage","Retail","Pettah","Test",-115.797101449275,128.464233391515,115.797101449275,-58.4857585527608,58.4857585527608,NA,NA,0.908765729929052
"15","SNAIVE_model","Cabbage","Wholesale","Dambulla","Test",-69.3115942028986,83.3541082857705,69.4565217391304,-57.8598488265523,57.9272569829393,NA,NA,0.84041045033852
"16","SNAIVE_model","Cabbage","Wholesale","Pettah","Test",-115.507246376812,128.068770531723,115.507246376812,-78.8634610771106,78.8634610771106,NA,NA,0.909001322337436
"17","SNAIVE_model","Carrot","Retail","Dambulla","Test",56.963768115942,82.4719437054246,67.3115942028986,16.2409514156026,21.701729410108,NA,NA,0.747523964235726
"18","SNAIVE_model","Carrot","Retail","Pettah","Test",61.1594202898551,85.4175262197826,72.4153623188406,15.0097280290798,19.7219167742813,NA,NA,0.845084230530405
"19","SNAIVE_model","Carrot","Wholesale","Dambulla","Test",56.4565217391304,82.2577698545814,67.0217391304348,17.4879348338249,24.1009354508072,NA,NA,0.750581230128044
"20","SNAIVE_model","Carrot","Wholesale","Pettah","Test",61.5942028985507,86.3540581022377,72.8501449275362,17.0574855699668,23.0461852020804,NA,NA,0.846099304389053
"21","SNAIVE_model","Green Chilli","Retail","Dambulla","Test",-692.463768115942,758.706135739454,692.463768115942,-190.078753824596,190.078753824596,NA,NA,0.705131123213476
"22","SNAIVE_model","Green Chilli","Retail","Pettah","Test",-695.289855072464,767.545187162444,698.188405797101,-180.765785765348,181.029290376678,NA,NA,0.689628469183892
"23","SNAIVE_model","Green Chilli","Wholesale","Dambulla","Test",-692.753623188406,758.986867568885,692.753623188406,-210.18348191714,210.18348191714,NA,NA,0.70532982735448
"24","SNAIVE_model","Green Chilli","Wholesale","Pettah","Test",-669.45652173913,737.964604225606,672.355072463768,-210.432844909107,210.722699981571,NA,NA,0.666772763786428
"25","SNAIVE_model","Lime","Retail","Dambulla","Test",-75.9347826086957,85.7278203537725,76.8043478260869,-69.7818227192671,70.2205026913511,NA,NA,0.703052667761204
"26","SNAIVE_model","Lime","Retail","Pettah","Test",-86.9565217391304,99.3190348964065,86.9565217391304,-63.1358855836959,63.1358855836959,NA,NA,0.923176527453368
"27","SNAIVE_model","Lime","Wholesale","Dambulla","Test",-75.9057971014493,85.7638216012566,76.7753623188406,-99.5631916055986,100.080162557352,NA,NA,0.704033897488631
"28","SNAIVE_model","Lime","Wholesale","Pettah","Test",-86.8115942028986,98.1454374525562,86.8115942028986,-97.4305633671575,97.4305633671575,NA,NA,0.930125124104293
"29","SNAIVE_model","Potato (Imp)","Retail","Dambulla","Test",-21.8115942028985,30.1284388259159,27.4736231884058,-15.5285210912213,18.3368896490557,NA,NA,0.85541288519437
"30","SNAIVE_model","Potato (Imp)","Retail","Pettah","Test",-20.9710144927536,26.7389792549043,22.1594202898551,-12.577542241899,13.1099325207204,NA,NA,0.790138314426749
"31","SNAIVE_model","Potato (Imp)","Wholesale","Dambulla","Test",-21.9565217391304,30.2724045668802,27.6185507246377,-18.2204322037032,21.3396949380282,NA,NA,0.857115961244027
