"","Item","Type","Market","SNAIVE_model"
"1","Beans","Retail","Dambulla",<SNAIVE>
"2","Beans","Retail","Pettah",<SNAIVE>
"3","Beans","Wholesale","Dambulla",<SNAIVE>
"4","Beans","Wholesale","Pettah",<SNAIVE>
"5","Big Onion (Imp)","Retail","Dambulla",<SNAIVE>
"6","Big Onion (Imp)","Retail","Pettah",<SNAIVE>
"7","Big Onion (Imp)","Wholesale","Dambulla",<SNAIVE>
"8","Big Onion (Imp)","Wholesale","Pettah",<SNAIVE>
"9","Brinjal","Retail","Dambulla",<SNAIVE>
"10","Brinjal","Retail","Pettah",<SNAIVE>
"11","Brinjal","Wholesale","Dambulla",<SNAIVE>
"12","Brinjal","Wholesale","Pettah",<SNAIVE>
"13","Cabbage","Retail","Dambulla",<SNAIVE>
"14","Cabbage","Retail","Pettah",<SNAIVE>
"15","Cabbage","Wholesale","Dambulla",<SNAIVE>
"16","Cabbage","Wholesale","Pettah",<SNAIVE>
"17","Carrot","Retail","Dambulla",<SNAIVE>
"18","Carrot","Retail","Pettah",<SNAIVE>
"19","Carrot","Wholesale","Dambulla",<SNAIVE>
"20","Carrot","Wholesale","Pettah",<SNAIVE>
"21","Green Chilli","Retail","Dambulla",<SNAIVE>
"22","Green Chilli","Retail","Pettah",<SNAIVE>
"23","Green Chilli","Wholesale","Dambulla",<SNAIVE>
"24","Green Chilli","Wholesale","Pettah",<SNAIVE>
"25","Lime","Retail","Dambulla",<SNAIVE>
"26","Lime","Retail","Pettah",<SNAIVE>
"27","Lime","Wholesale","Dambulla",<SNAIVE>
"28","Lime","Wholesale","Pettah",<SNAIVE>
"29","Potato (Imp)","Retail","Dambulla",<SNAIVE>
"30","Potato (Imp)","Retail","Pettah",<SNAIVE>
"31","Potato (Imp)","Wholesale","Dambulla",<SNAIVE>
"32","Potato (Imp)","Wholesale","Pettah",<SNAIVE>
"33","Pumpkin","Retail","Dambulla",<SNAIVE>
"34","Pumpkin","Retail","Pettah",<SNAIVE>
"35","Pumpkin","Wholesale","Dambulla",<SNAIVE>
"36","Pumpkin","Wholesale","Pettah",<SNAIVE>
"37","Snake gourd","Retail","Dambulla",<SNAIVE>
"38","Snake gourd","Retail","Pettah",<SNAIVE>
"39","Snake gourd","Wholesale","Dambulla",<SNAIVE>
"40","Snake gourd","Wholesale","Pettah",<SNAIVE>
"41","Tomato","Retail","Dambulla",<SNAIVE>
"42","Tomato","Retail","Pettah",<SNAIVE>
"43","Tomato","Wholesale","Dambulla",<SNAIVE>
"44","Tomato","Wholesale","Pettah",<SNAIVE>
"45","Potato (Local)","Retail","Dambulla",<SNAIVE>
"46","Potato (Local)","Retail","Pettah",<SNAIVE>
"47","Potato (Local)","Wholesale","Dambulla",<SNAIVE>
"48","Potato (Local)","Wholesale","Pettah",<SNAIVE>
"49","Big Onion (Local)","Retail","Dambulla",<SNAIVE>
"50","Big Onion (Local)","Retail","Pettah",<SNAIVE>
"51","Big Onion (Local)","Wholesale","Dambulla",<SNAIVE>
"52","Big Onion (Local)","Wholesale","Pettah",<SNAIVE>
"53","Red Onion (Imp)","Retail","Dambulla",<SNAIVE>
"54","Red Onion (Imp)","Retail","Pettah",<SNAIVE>
"55","Red Onion (Imp)","Wholesale","Dambulla",<SNAIVE>
"56","Red Onion (Imp)","Wholesale","Pettah",<SNAIVE>
"57","Red Onion (Local)","Retail","Dambulla",<SNAIVE>
"58","Red Onion (Local)","Retail","Pettah",<SNAIVE>
"59","Red Onion (Local)","Wholesale","Dambulla",<SNAIVE>
"60","Red Onion (Local)","Wholesale","Pettah",<SNAIVE>
