"","Item","Type","Market","STL_ARIMA"
"1","Beans","Retail","Dambulla",<STL decomposition model>
"2","Beans","Retail","Pettah",<STL decomposition model>
"3","Beans","Wholesale","Dambulla",<STL decomposition model>
"4","Beans","Wholesale","Pettah",<STL decomposition model>
"5","Big Onion (Imp)","Retail","Dambulla",<STL decomposition model>
"6","Big Onion (Imp)","Retail","Pettah",<STL decomposition model>
"7","Big Onion (Imp)","Wholesale","Dambulla",<STL decomposition model>
"8","Big Onion (Imp)","Wholesale","Pettah",<STL decomposition model>
"9","Brinjal","Retail","Dambulla",<STL decomposition model>
"10","Brinjal","Retail","Pettah",<STL decomposition model>
"11","Brinjal","Wholesale","Dambulla",<STL decomposition model>
"12","Brinjal","Wholesale","Pettah",<STL decomposition model>
"13","Cabbage","Retail","Dambulla",<STL decomposition model>
"14","Cabbage","Retail","Pettah",<STL decomposition model>
"15","Cabbage","Wholesale","Dambulla",<STL decomposition model>
"16","Cabbage","Wholesale","Pettah",<STL decomposition model>
"17","Carrot","Retail","Dambulla",<STL decomposition model>
"18","Carrot","Retail","Pettah",<STL decomposition model>
"19","Carrot","Wholesale","Dambulla",<STL decomposition model>
"20","Carrot","Wholesale","Pettah",<STL decomposition model>
"21","Green Chilli","Retail","Dambulla",<STL decomposition model>
"22","Green Chilli","Retail","Pettah",<STL decomposition model>
"23","Green Chilli","Wholesale","Dambulla",<STL decomposition model>
"24","Green Chilli","Wholesale","Pettah",<STL decomposition model>
"25","Lime","Retail","Dambulla",<STL decomposition model>
"26","Lime","Retail","Pettah",<STL decomposition model>
"27","Lime","Wholesale","Dambulla",<STL decomposition model>
"28","Lime","Wholesale","Pettah",<STL decomposition model>
"29","Potato (Imp)","Retail","Dambulla",<STL decomposition model>
"30","Potato (Imp)","Retail","Pettah",<STL decomposition model>
"31","Potato (Imp)","Wholesale","Dambulla",<STL decomposition model>
"32","Potato (Imp)","Wholesale","Pettah",<STL decomposition model>
"33","Pumpkin","Retail","Dambulla",<STL decomposition model>
"34","Pumpkin","Retail","Pettah",<STL decomposition model>
"35","Pumpkin","Wholesale","Dambulla",<STL decomposition model>
"36","Pumpkin","Wholesale","Pettah",<STL decomposition model>
"37","Snake gourd","Retail","Dambulla",<STL decomposition model>
"38","Snake gourd","Retail","Pettah",<STL decomposition model>
"39","Snake gourd","Wholesale","Dambulla",<STL decomposition model>
"40","Snake gourd","Wholesale","Pettah",<STL decomposition model>
"41","Tomato","Retail","Dambulla",<STL decomposition model>
"42","Tomato","Retail","Pettah",<STL decomposition model>
"43","Tomato","Wholesale","Dambulla",<STL decomposition model>
"44","Tomato","Wholesale","Pettah",<STL decomposition model>
"45","Potato (Local)","Retail","Dambulla",<STL decomposition model>
"46","Potato (Local)","Retail","Pettah",<STL decomposition model>
"47","Potato (Local)","Wholesale","Dambulla",<STL decomposition model>
"48","Potato (Local)","Wholesale","Pettah",<STL decomposition model>
"49","Big Onion (Local)","Retail","Dambulla",<STL decomposition model>
"50","Big Onion (Local)","Retail","Pettah",<STL decomposition model>
"51","Big Onion (Local)","Wholesale","Dambulla",<STL decomposition model>
"52","Big Onion (Local)","Wholesale","Pettah",<STL decomposition model>
"53","Red Onion (Imp)","Retail","Dambulla",<STL decomposition model>
"54","Red Onion (Imp)","Retail","Pettah",<STL decomposition model>
"55","Red Onion (Imp)","Wholesale","Dambulla",<STL decomposition model>
"56","Red Onion (Imp)","Wholesale","Pettah",<STL decomposition model>
"57","Red Onion (Local)","Retail","Dambulla",<STL decomposition model>
"58","Red Onion (Local)","Retail","Pettah",<STL decomposition model>
"59","Red Onion (Local)","Wholesale","Dambulla",<STL decomposition model>
"60","Red Onion (Local)","Wholesale","Pettah",<STL decomposition model>
