"",".model","Item","Type","Market",".type","ME","RMSE","MAE","MPE","MAPE","MASE","RMSSE","ACF1"
"1","STL_ETS","Beans","Retail","Dambulla","Test",-335.26591977235,352.991893697842,335.26591977235,-95.5796445615209,95.5796445615209,NA,NA,0.825811069972077
"2","STL_ETS","Beans","Retail","Pettah","Test",-386.510642559386,400.125229859421,386.510642559386,-88.7811827308625,88.7811827308625,NA,NA,0.813665171902238
"3","STL_ETS","Beans","Wholesale","Dambulla","Test",-258.8721836792,274.189933767498,258.8721836792,-80.9177875202206,80.9177875202206,NA,NA,0.770909170420636
"4","STL_ETS","Beans","Wholesale","Pettah","Test",-402.317498747667,417.394087041736,402.317498747667,-106.255359447694,106.255359447694,NA,NA,0.828897669684558
"5","STL_ETS","Big Onion (Imp)","Retail","Dambulla","Test",-21.4106246623329,28.8074048429006,25.6321132511109,-13.7514144702707,15.8474440458264,NA,NA,0.67638246521849
"6","STL_ETS","Big Onion (Imp)","Retail","Pettah","Test",-48.3022069239228,52.2159680474286,49.3752009683743,-28.3620172704012,28.809098122256,NA,NA,0.803072834070923
"7","STL_ETS","Big Onion (Imp)","Wholesale","Dambulla","Test",-23.4860786720991,30.8138823379249,27.382298591808,-17.2359002742585,19.3711240035329,NA,NA,0.697307860663964
"8","STL_ETS","Big Onion (Imp)","Wholesale","Pettah","Test",-26.1023301624127,31.3406493073089,27.3016464853495,-19.5877889135283,20.2891574607366,NA,NA,0.850630576439128
"9","STL_ETS","Brinjal","Retail","Dambulla","Test",-232.20763983545,242.63046393598,232.20763983545,-117.337928035082,117.337928035082,NA,NA,0.818669366533615
"10","STL_ETS","Brinjal","Retail","Pettah","Test",-47.2787648911262,95.6362734797896,85.051444225278,-31.2615435268122,41.6844138226469,NA,NA,0.896273683897053
"11","STL_ETS","Brinjal","Wholesale","Dambulla","Test",-232.550739550318,242.952338295549,232.550739550318,-139.824535383022,139.824535383022,NA,NA,0.822097500811581
"12","STL_ETS","Brinjal","Wholesale","Pettah","Test",-58.6631149788156,106.359717058891,94.9936630237966,-52.3761667821664,63.9639496081231,NA,NA,0.908115097946646
"13","STL_ETS","Cabbage","Retail","Dambulla","Test",-76.8538482973392,91.7255830381738,77.3778049017217,-50.4018372070773,50.602525771541,NA,NA,0.897259889576036
"14","STL_ETS","Cabbage","Retail","Pettah","Test",-100.589238553995,113.670677568619,104.161633685981,-51.2173541812893,52.238038504714,NA,NA,0.934108870440739
"15","STL_ETS","Cabbage","Wholesale","Dambulla","Test",-53.2095484959369,66.6297697037052,54.1068448811109,-45.1902190046442,45.5940955332355,NA,NA,0.849352699610621
"16","STL_ETS","Cabbage","Wholesale","Pettah","Test",-92.7380765635184,104.407362053966,96.2838494707277,-63.7045376493507,64.8864619517539,NA,NA,0.926742351686388
"17","STL_ETS","Carrot","Retail","Dambulla","Test",13.3222803714849,72.657879176596,54.4045237151415,1.26276718279552,18.7173889772773,NA,NA,0.798166383354098
"18","STL_ETS","Carrot","Retail","Pettah","Test",18.1817364278234,63.8831321804485,48.6641784924693,3.6059928190448,13.7432499182944,NA,NA,0.832112788868581
"19","STL_ETS","Carrot","Wholesale","Dambulla","Test",12.4844105409675,72.8643671172693,54.7214869596579,0.522322806969824,21.2436455623706,NA,NA,0.798328925011172
"20","STL_ETS","Carrot","Wholesale","Pettah","Test",24.7309536641935,66.6410732218817,49.6624323356174,5.9748857451795,16.2959967957632,NA,NA,0.833189141565695
"21","STL_ETS","Green Chilli","Retail","Dambulla","Test",-434.346661146542,477.405523131779,434.832091930378,-121.537902772995,121.600137488871,NA,NA,0.84183029232107
"22","STL_ETS","Green Chilli","Retail","Pettah","Test",-299.046797869448,364.690751832327,321.608438337084,-83.7062309804138,85.9472735086973,NA,NA,0.880013183036727
"23","STL_ETS","Green Chilli","Wholesale","Dambulla","Test",-440.060603799601,483.325574585159,440.553167959677,-136.051028197239,136.116703418582,NA,NA,0.841205051968389
"24","STL_ETS","Green Chilli","Wholesale","Pettah","Test",-288.395121849349,349.621087511817,309.581744366671,-97.8932068985054,100.236981482722,NA,NA,0.851856112706261
"25","STL_ETS","Lime","Retail","Dambulla","Test",-73.3031854485654,76.9070579315678,73.3031854485654,-63.6476406118835,63.6476406118835,NA,NA,0.746348014219006
