Item,Type,Market,mean_RMSE,mean_MAE,mean_MAPE
Beans,Retail,Dambulla,62.95194937755925,46.049275362318845,11.813054955769838
Beans,Retail,Pettah,85.60183763942439,47.1740579710145,9.805762238577659
Beans,Wholesale,Dambulla,63.94379529338041,46.93391304347826,13.127687229196278
Beans,Wholesale,Pettah,88.15441993242987,48.39710144927537,11.88963315793727
Big Onion (Imp),Retail,Dambulla,11.730704909815072,7.850724637681159,4.641946177393109
Big Onion (Imp),Retail,Pettah,6.777549683340207,4.256231884057971,2.3321599651091223
Big Onion (Imp),Wholesale,Dambulla,12.15166810282273,8.390144927536234,5.684175867402687
Big Onion (Imp),Wholesale,Pettah,5.727271525817051,4.7468115942028986,3.381571442510891
Big Onion (Local),Retail,Dambulla,8.126298513851916,6.496231884057968,3.8966244130193304
Big Onion (Local),Retail,Pettah,5.87926225284101,5.680289855072463,4.228491420124661
Big Onion (Local),Wholesale,Dambulla,7.681561963747903,5.488985507246375,3.546849994219802
Big Onion (Local),Wholesale,Pettah,4.509204274415364,4.24478260869565,3.089661152562205
Brinjal,Retail,Dambulla,32.52645995342022,22.167536231884057,9.949868327502069
Brinjal,Retail,Pettah,25.48930520257751,16.865362318840578,6.781242609937147
Brinjal,Wholesale,Dambulla,32.92318587433394,22.997971014492755,12.062637429949193
Brinjal,Wholesale,Pettah,23.873450112831517,17.55420289855072,9.209467309099347
Cabbage,Retail,Dambulla,17.988495196104925,13.263768115942028,7.673883883548433
Cabbage,Retail,Pettah,17.17773542126256,11.43449275362319,5.025977243553386
Cabbage,Wholesale,Dambulla,17.697253164409933,13.064492753623187,9.464279893871339
Cabbage,Wholesale,Pettah,18.282343347089554,11.891304347826084,6.805882791044132
Carrot,Retail,Dambulla,37.795176346624764,25.856086956521736,9.334440920222116
Carrot,Retail,Pettah,28.702427383083112,20.286521739130432,6.187106612671974
Carrot,Wholesale,Dambulla,38.200880121130524,26.24826086956522,10.696797966549058
Carrot,Wholesale,Pettah,29.618348161673143,20.45768115942029,7.498296710936285
Green Chilli,Retail,Dambulla,77.04860310595974,53.734782608695646,10.990190255046357
Green Chilli,Retail,Pettah,79.19876681626671,54.735217391304346,10.498898998007085
Green Chilli,Wholesale,Dambulla,77.13073951584327,52.39898550724637,11.676726585418045
Green Chilli,Wholesale,Pettah,88.39838731396712,62.72565217391306,15.329286955283708
Lime,Retail,Dambulla,15.444503876784129,12.60478260869565,10.323820095571786
Lime,Retail,Pettah,9.77469959507263,5.554057971014492,3.6641475721769923
Lime,Wholesale,Dambulla,16.503757718791793,13.73463768115942,15.562435874305077
Lime,Wholesale,Pettah,8.1132193971017,5.046521739130437,4.997575329287472
Potato (Imp),Retail,Dambulla,10.110436206705183,7.2668115942029,4.543547375477849
Potato (Imp),Retail,Pettah,8.080001345243108,5.71144927536232,3.2750902121958276
Potato (Imp),Wholesale,Dambulla,9.886833727711835,7.094782608695653,5.068228294828586
Potato (Imp),Wholesale,Pettah,9.369420890646708,6.227681159420289,4.035574319414262
Potato (Local),Retail,Dambulla,20.11666376091138,13.17115942028986,4.561721565929736
Potato (Local),Retail,Pettah,10.2645673790112,7.246521739130433,1.7819661981764923
Potato (Local),Wholesale,Dambulla,19.870244741496176,13.527536231884058,5.09946429101669
Potato (Local),Wholesale,Pettah,10.857832142770471,7.737681159420287,2.166288110670345
Pumpkin,Retail,Dambulla,11.14902803328418,8.317101449275363,6.954590604162014
Pumpkin,Retail,Pettah,8.016380512534267,5.297391304347828,3.5527042562337074
Pumpkin,Wholesale,Dambulla,11.51464838960495,8.842608695652174,9.83560499196014
Pumpkin,Wholesale,Pettah,8.245345019630992,5.295797101449275,5.84310115355484
Red Onion (Imp),Retail,Dambulla,17.598661592719843,13.665797101449277,5.328955475430838
Red Onion (Imp),Retail,Pettah,7.526194161109892,4.1213043478260865,1.088379917184265
Red Onion (Imp),Wholesale,Dambulla,17.48290332569657,13.185072463768115,5.54988910025591
Red Onion (Imp),Wholesale,Pettah,8.331904979037514,6.168695652173909,2.556995036793528
Red Onion (Local),Retail,Dambulla,23.703040164575476,15.925217391304345,8.271086838694272
Red Onion (Local),Retail,Pettah,5.1540936312236605,4.214782608695653,1.669240169765756
Red Onion (Local),Wholesale,Dambulla,24.553178370955195,16.56521739130435,9.67837535217313
Red Onion (Local),Wholesale,Pettah,7.415171189400546,6.395507246376812,3.0442756457135736
Snake gourd,Retail,Dambulla,26.34628227767767,18.31782608695652,10.099210264114934
Snake gourd,Retail,Pettah,19.56281691876457,12.084927536231884,4.984924845471526
Snake gourd,Wholesale,Dambulla,25.706078624731344,17.53333333333333,12.19493890529781
Snake gourd,Wholesale,Pettah,21.877460209480244,14.381594202898548,7.496991386134083
Tomato,Retail,Dambulla,39.713288233522555,25.61840579710145,11.90810813583628
Tomato,Retail,Pettah,41.089153087515385,22.693043478260865,8.146693788897963
Tomato,Wholesale,Dambulla,40.984017280688434,27.101449275362317,15.671029133595905
Tomato,Wholesale,Pettah,37.02965110380552,22.282898550724642,10.096444944193983
