.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
ARIMA_model,Beans,Retail,Dambulla,Test,-228.35099080480418,249.98858302596457,228.35099080480418,-51.43930862658231,51.43930862658231,NA,NA,0.6029247351764208
ARIMA_model,Beans,Retail,Pettah,Test,-289.1796378375883,299.08281365396033,289.1796378375883,-50.23606901097434,50.23606901097434,NA,NA,0.5314975708541233
ARIMA_model,Beans,Wholesale,Dambulla,Test,-231.08174457701935,253.71609567608158,231.08174457701935,-56.04336780384957,56.04336780384957,NA,NA,0.6150887258713219
ARIMA_model,Beans,Wholesale,Pettah,Test,-278.3706849623326,290.921029594556,278.3706849623326,-59.140459513828,59.140459513828,NA,NA,0.5580495995210385
ARIMA_model,Big Onion (Imp),Retail,Dambulla,Test,-22.36384826567879,28.62776712856849,26.071387583350422,-14.180620947761279,15.946115860938248,NA,NA,0.3011417832983407
ARIMA_model,Big Onion (Imp),Retail,Pettah,Test,-34.85886127563589,41.7018622730737,36.05508262128937,-19.03272206016355,19.531147620852504,NA,NA,0.7158771944767368
ARIMA_model,Big Onion (Imp),Wholesale,Dambulla,Test,-21.618316551034575,27.854734236536213,25.595821394497495,-15.713111387249395,17.806534989071984,NA,NA,0.2703535960327223
ARIMA_model,Big Onion (Imp),Wholesale,Pettah,Test,-31.938083348879058,35.22963480265398,31.938083348879058,-22.327770820123927,22.327770820123927,NA,NA,0.7889433054786813
ARIMA_model,Brinjal,Retail,Dambulla,Test,-184.0490645472161,200.80330925601365,184.0490645472161,-56.05316474667985,56.05316474667985,NA,NA,0.563369040846122
ARIMA_model,Brinjal,Retail,Pettah,Test,-42.25112630138546,57.352364597118175,49.32283110099289,-11.112134254896127,12.526475214817612,NA,NA,0.37358019663572395
ARIMA_model,Brinjal,Wholesale,Dambulla,Test,-184.2039606607845,200.92931560548317,184.2039606607845,-62.115395757452966,62.115395757452966,NA,NA,0.5643638478962417
ARIMA_model,Brinjal,Wholesale,Pettah,Test,-40.63429961411568,56.06872442489473,47.86038062876499,-12.342939747389153,13.948735528422331,NA,NA,0.37723254638007847
ARIMA_model,Cabbage,Retail,Dambulla,Test,-30.67594947745001,36.52051290707678,32.039807704007885,-14.321994003393792,14.827126679896706,NA,NA,0.6385567391626122
