.model,Item,Type,Market,.type,ME,RMSE,MAE,MPE,MAPE,MASE,RMSSE,ACF1
NAIVE_model,Beans,Retail,Dambulla,Test,-247.5,263.47228351565246,247.5,-56.297732347775586,56.297732347775586,NA,NA,0.6193363579247197
NAIVE_model,Beans,Retail,Pettah,Test,-290.4761904761905,303.2888245786279,290.4761904761905,-50.82238001026702,50.82238001026702,NA,NA,0.4770764757861882
NAIVE_model,Beans,Wholesale,Dambulla,Test,-247.5,263.47228351565246,247.5,-60.52287551437573,60.52287551437573,NA,NA,0.6193363579247197
NAIVE_model,Beans,Wholesale,Pettah,Test,-275,289.481583705703,275,-57.08085046507311,57.08085046507311,NA,NA,0.5266981096946991
NAIVE_model,Big Onion (Imp),Retail,Dambulla,Test,-35.80952380952381,39.19942638064272,36.76190476190476,-22.152144561355236,22.60565930058426,NA,NA,0.2259488843568662
NAIVE_model,Big Onion (Imp),Retail,Pettah,Test,-50,55.553987298500054,50,-28.205329654171695,28.205329654171695,NA,NA,0.8023472792432254
NAIVE_model,Big Onion (Imp),Wholesale,Dambulla,Test,-35.80952380952381,39.19942638064272,36.76190476190476,-25.291901635008553,25.793154767840633,NA,NA,0.2259488843568662
NAIVE_model,Big Onion (Imp),Wholesale,Pettah,Test,-40.095238095238095,42.63712645548422,40.095238095238095,-28.832767533151443,28.832767533151443,NA,NA,0.8086256994581693
NAIVE_model,Brinjal,Retail,Dambulla,Test,-254.2857142857143,274.2401672153182,254.2857142857143,-96.86143328456662,96.86143328456662,NA,NA,0.8062590473980051
NAIVE_model,Brinjal,Retail,Pettah,Test,-75,105.173628190087,79.76190476190476,-26.605359302213827,27.55774025459478,NA,NA,0.6715318870002354
NAIVE_model,Brinjal,Wholesale,Dambulla,Test,-254.2857142857143,274.2401672153182,254.2857142857143,-110.3867177424951,110.3867177424951,NA,NA,0.8062590473980051
NAIVE_model,Brinjal,Wholesale,Pettah,Test,-79.76190476190474,112.11353373977222,84.52380952380952,-36.40846855011411,37.46666960831516,NA,NA,0.733159381843794
NAIVE_model,Cabbage,Retail,Dambulla,Test,-38.33333333333333,42.99157049158978,39.28571428571429,-18.137385238930737,18.49011892499776,NA,NA,0.6801631274733916
NAIVE_model,Cabbage,Retail,Pettah,Test,-53.333333333333336,65.76371043002219,53.333333333333336,-19.969558605594383,19.969558605594383,NA,NA,0.7734092534275178
NAIVE_model,Cabbage,Wholesale,Dambulla,Test,-38.33333333333333,42.99157049158978,39.28571428571429,-21.145850116252827,21.542675513078226,NA,NA,0.6801631274733916
NAIVE_model,Cabbage,Wholesale,Pettah,Test,-53.333333333333336,65.76371043002219,53.333333333333336,-24.618024034068483,24.618024034068483,NA,NA,0.7734092534275178
NAIVE_model,Carrot,Retail,Dambulla,Test,82.38095238095238,94.23602025916477,82.38095238095238,22.713143572458645,22.713143572458645,NA,NA,0.6331973248804599
NAIVE_model,Carrot,Retail,Pettah,Test,100.95238095238095,106.22433086005611,100.95238095238095,24.669147419227187,24.669147419227187,NA,NA,0.6877143442762886
NAIVE_model,Carrot,Wholesale,Dambulla,Test,82.38095238095238,94.23602025916477,82.38095238095238,24.796895121611687,24.796895121611687,NA,NA,0.6331973248804599
NAIVE_model,Carrot,Wholesale,Pettah,Test,102.38095238095238,108.6838529646336,102.38095238095238,28.319756049361096,28.319756049361096,NA,NA,0.6631520291966112
NAIVE_model,Green Chilli,Retail,Dambulla,Test,-410.95238095238096,451.03842267963523,415.7142857142857,-67.76617450150836,68.16972575251724,NA,NA,0.6986824975587081
NAIVE_model,Green Chilli,Retail,Pettah,Test,-209.5238095238095,273.3294521617596,238.0952380952381,-33.876519873721605,36.4739224711242,NA,NA,0.6007552237004714
NAIVE_model,Green Chilli,Wholesale,Dambulla,Test,-410.95238095238096,451.03842267963523,415.7142857142857,-71.49920374651713,71.91328242146537,NA,NA,0.6986824975587081
NAIVE_model,Green Chilli,Wholesale,Pettah,Test,-201.19047619047623,261.23561705680106,229.76190476190473,-37.40790162218734,40.26504447933019,NA,NA,0.5981498765288065
NAIVE_model,Lime,Retail,Dambulla,Test,-57.26190476190476,62.906092369045275,57.26190476190476,-39.07687562918504,39.07687562918504,NA,NA,0.7843970422056528
NAIVE_model,Lime,Retail,Pettah,Test,-17.38095238095238,31.18684093682859,17.38095238095238,-8.994708994708995,8.994708994708995,NA,NA,0.8323671030806638
NAIVE_model,Lime,Wholesale,Dambulla,Test,-57.023809523809526,62.78296159521839,57.023809523809526,-49.41637560023717,49.41637560023717,NA,NA,0.7897774638003098
NAIVE_model,Lime,Wholesale,Pettah,Test,-20.714285714285708,34.38230441873926,20.714285714285708,-14.766714766714765,14.766714766714765,NA,NA,0.8199767711962834
NAIVE_model,Potato (Imp),Retail,Dambulla,Test,-0.16666666666666446,17.102691795932788,14.769523809523811,-1.1796956008688,9.0321670992908,NA,NA,0.7314736892008373
NAIVE_model,Potato (Imp),Retail,Pettah,Test,-10.238095238095235,14.184162865339506,10.238095238095235,-5.682019923505991,5.682019923505991,NA,NA,0.7652661064425771
NAIVE_model,Potato (Imp),Wholesale,Dambulla,Test,-0.6428571428571452,17.51535843059973,15.245714285714287,-1.925703073959162,10.725721854357323,NA,NA,0.7611379375543688
