Item,Type,Market,RMSE,MAE,MPE,MAPE,MASE
Beans,Retail,Dambulla,180.72628758506937,141.82136358829231,-26.685122823787506,27.698599166210357,NA
Beans,Retail,Pettah,257.0447043817097,236.40441945368713,-39.891698563021826,39.891698563021826,NA
Beans,Wholesale,Dambulla,144.36721094041107,107.15060020776468,-20.546501410261612,21.976126379871555,NA
Beans,Wholesale,Pettah,202.60576612057164,177.88136458218733,-28.421042556864037,34.54293243781642,NA
Big Onion (Imp),Retail,Dambulla,177.54936289274164,169.96361867584943,101.8178629330083,101.8178629330083,NA
Big Onion (Imp),Retail,Pettah,152.78467479572288,144.19839674653963,76.77343767559199,80.99061679921523,NA
Big Onion (Imp),Wholesale,Dambulla,189.59276097057642,183.20613120482227,125.5371953328032,125.5371953328032,NA
Big Onion (Imp),Wholesale,Pettah,220.982082680758,208.05559001902805,148.73873321962668,148.73873321962668,NA
Big Onion (Local),Retail,Dambulla,156.58906169651743,145.03203414426426,71.96556984408919,73.23752856768488,NA
Big Onion (Local),Retail,Pettah,154.8748639718186,152.61560282208814,76.88294556690957,76.88294556690957,NA
Big Onion (Local),Wholesale,Dambulla,163.8969770187157,150.96532633421623,86.11502889030128,86.61260210021838,NA
Big Onion (Local),Wholesale,Pettah,152.68913741669377,145.89064367856753,80.08768773185676,83.23830543638114,NA
Brinjal,Retail,Dambulla,128.36395124509949,113.735622020561,26.07010528911808,42.374121177897536,NA
Brinjal,Retail,Pettah,99.42717775446519,78.43816850427416,12.873856447165679,28.36560920901365,NA
Brinjal,Wholesale,Dambulla,121.43523799086353,110.73566760614285,44.43279411597563,51.9658648305153,NA
Brinjal,Wholesale,Pettah,120.68273938466018,98.32875879357996,36.847127442149954,48.83158388439543,NA
Cabbage,Retail,Dambulla,124.92667033919533,117.87963737204144,52.7651389082785,54.31251122224822,NA
Cabbage,Retail,Pettah,80.82581361008958,73.32286833088824,17.677863042216018,26.604765295660997,NA
Cabbage,Wholesale,Dambulla,164.53467848017928,154.76547799127292,81.70521174261327,82.65764254719411,NA
Cabbage,Wholesale,Pettah,123.04278087716835,120.0628804806457,54.02768491746535,54.02768491746535,NA
Carrot,Retail,Dambulla,88.18511921203178,56.601351062886046,3.1502508164205723,16.45037578085738,NA
Carrot,Retail,Pettah,83.38554608799362,67.985791730035,-17.104596021353103,17.159573852670814,NA
Carrot,Wholesale,Dambulla,91.25529214112521,66.26744014622606,15.843064482314986,22.023244773049548,NA
Carrot,Wholesale,Pettah,56.67527877314715,38.04390587605117,-6.867466086664927,10.477545907915653,NA
Green Chilli,Retail,Dambulla,376.380622060755,328.6087585726705,-46.038423825882944,46.038423825882944,NA
Green Chilli,Retail,Pettah,419.36403985652163,382.89055881358945,-50.09129130871924,50.09129130871924,NA
Green Chilli,Wholesale,Dambulla,370.334222548732,312.6783613666013,-44.937657566801036,44.937657566801036,NA
Green Chilli,Wholesale,Pettah,371.47874877839376,322.9731537113441,-45.97122420337066,45.97122420337066,NA
Lime,Retail,Dambulla,195.60028764214331,190.36996049897667,125.76800043749276,125.76800043749276,NA
Lime,Retail,Pettah,141.12261393766414,139.29510283996643,69.43367336468641,69.43367336468641,NA
Lime,Wholesale,Dambulla,207.5328997948791,201.50651081213584,171.32690126165613,171.32690126165613,NA
Lime,Wholesale,Pettah,180.1775986476709,172.31130271488732,121.25926769361195,123.15236216422674,NA
Potato (Imp),Retail,Dambulla,176.40319017543422,171.77334755953203,108.44832053952344,108.44832053952344,NA
Potato (Imp),Retail,Pettah,155.09262662618315,146.25660372039314,78.4294715219082,78.65978909412911,NA
Potato (Imp),Wholesale,Dambulla,208.72755517508486,203.85387226122887,146.6092053499461,146.6092053499461,NA
Potato (Imp),Wholesale,Pettah,159.48924517215852,150.19971637398322,90.39830626597077,91.10759272979502,NA
Potato (Local),Retail,Dambulla,44.153079133863955,36.876451932911586,-1.1229767535317472,11.171818478823175,NA
Potato (Local),Retail,Pettah,126.7020496445404,97.43336690675466,-10.47661809432035,23.946140668083235,NA
Potato (Local),Wholesale,Dambulla,65.27223675779987,45.18475904816316,6.245448705206914,14.909654754918629,NA
Potato (Local),Wholesale,Pettah,70.10478776364454,64.32570872091246,-7.591670727248365,16.67413844498859,NA
Pumpkin,Retail,Dambulla,217.71663884624047,209.46121512396897,168.36725967877024,168.36725967877024,NA
Pumpkin,Retail,Pettah,155.0437744697826,149.750010753734,82.08363514994761,85.49025827676402,NA
Pumpkin,Wholesale,Dambulla,258.2802350895621,251.43480421964784,266.477612802168,266.477612802168,NA
Pumpkin,Wholesale,Pettah,226.29669283424963,220.5406280928603,190.6149476008998,190.6149476008998,NA
Red Onion (Imp),Retail,Dambulla,49.60283884399895,39.16102884958181,9.364194492094832,12.289319881608812,NA
Red Onion (Imp),Retail,Pettah,62.906463698603865,44.78927538307822,-5.394193222739645,12.796935823736638,NA
Red Onion (Imp),Wholesale,Dambulla,57.71251281046176,47.82597916784576,13.131629724311049,16.41023938545514,NA
Red Onion (Imp),Wholesale,Pettah,65.93512156001097,53.581218808237516,12.276384537130468,18.797049938044548,NA
Red Onion (Local),Retail,Dambulla,133.95900215335925,119.1570472903956,54.196053917655995,58.04216863020308,NA
Red Onion (Local),Retail,Pettah,70.16410408060243,62.87438078451842,19.445642093922988,21.289724020695196,NA
Red Onion (Local),Wholesale,Dambulla,138.30706762389497,121.48459117749725,67.17443701182108,67.17443701182108,NA
Red Onion (Local),Wholesale,Pettah,105.63079169577553,91.9716909925966,29.56817630885483,34.67849495481031,NA
Snake gourd,Retail,Dambulla,110.8318174118702,88.7946886977037,35.07613790301284,36.250668088513585,NA
Snake gourd,Retail,Pettah,83.87510709916964,61.29329785282058,3.9979787872583588,18.371281685980538,NA
Snake gourd,Wholesale,Dambulla,151.72446709822017,128.41927464865066,58.06432729725299,58.163271614135795,NA
Snake gourd,Wholesale,Pettah,113.94477062055525,101.21496695038522,26.84725863347044,37.997922486036636,NA
Tomato,Retail,Dambulla,113.85156108673152,96.04868682167807,-21.43881781795719,22.161404298692002,NA
Tomato,Retail,Pettah,214.334452564787,197.82369277900128,-36.26925366982497,36.26925366982497,NA
Tomato,Wholesale,Dambulla,89.0510969606339,71.71363551333052,-8.790538314016606,17.77149940523357,NA
Tomato,Wholesale,Pettah,99.020890364629,89.71903250802542,-19.116725734050334,19.74686978396315,NA
