Date,Item,Type,Market,Price,Year,Price_interp
2025-01-01,Beans,Retail,Dambulla,280,2025,280
2025-01-02,Beans,Retail,Dambulla,365,2025,365
2025-01-03,Beans,Retail,Dambulla,235,2025,235
2025-01-04,Beans,Retail,Dambulla,NA,2025,258.3333333333333
2025-01-05,Beans,Retail,Dambulla,NA,2025,281.6666666666667
2025-01-06,Beans,Retail,Dambulla,305,2025,305
2025-01-07,Beans,Retail,Dambulla,345,2025,345
2025-01-08,Beans,Retail,Dambulla,255,2025,255
2025-01-09,Beans,Retail,Dambulla,270,2025,270
2025-01-10,Beans,Retail,Dambulla,230,2025,230
2025-01-11,Beans,Retail,Dambulla,NA,2025,239
2025-01-12,Beans,Retail,Dambulla,NA,2025,248
2025-01-13,Beans,Retail,Dambulla,NA,2025,257
2025-01-14,Beans,Retail,Dambulla,NA,2025,266
2025-01-15,Beans,Retail,Dambulla,275,2025,275
2025-01-16,Beans,Retail,Dambulla,340,2025,340
2025-01-17,Beans,Retail,Dambulla,335,2025,335
2025-01-18,Beans,Retail,Dambulla,NA,2025,341.6666666666667
2025-01-19,Beans,Retail,Dambulla,NA,2025,348.3333333333333
2025-01-20,Beans,Retail,Dambulla,355,2025,355
2025-01-21,Beans,Retail,Dambulla,445,2025,445
2025-01-22,Beans,Retail,Dambulla,355,2025,355
2025-01-23,Beans,Retail,Dambulla,505,2025,505
2025-01-24,Beans,Retail,Dambulla,455,2025,455
2025-01-25,Beans,Retail,Dambulla,NA,2025,471.6666666666667
2025-01-26,Beans,Retail,Dambulla,NA,2025,488.3333333333333
2025-01-27,Beans,Retail,Dambulla,505,2025,505
2025-01-28,Beans,Retail,Dambulla,505,2025,505
2025-01-29,Beans,Retail,Dambulla,505,2025,505
2025-01-30,Beans,Retail,Dambulla,455,2025,455
2025-01-31,Beans,Retail,Dambulla,605,2025,605
2025-02-01,Beans,Retail,Dambulla,NA,2025,580
2025-02-02,Beans,Retail,Dambulla,NA,2025,555
2025-02-03,Beans,Retail,Dambulla,530,2025,530
2025-02-04,Beans,Retail,Dambulla,NA,2025,492.5
2025-02-05,Beans,Retail,Dambulla,455,2025,455
2025-02-06,Beans,Retail,Dambulla,480,2025,480
2025-02-07,Beans,Retail,Dambulla,405,2025,405
2025-02-08,Beans,Retail,Dambulla,NA,2025,413.3333333333333
2025-02-09,Beans,Retail,Dambulla,NA,2025,421.6666666666667
2025-02-10,Beans,Retail,Dambulla,430,2025,430
2025-02-11,Beans,Retail,Dambulla,455,2025,455
2025-02-12,Beans,Retail,Dambulla,NA,2025,422.5
2025-02-13,Beans,Retail,Dambulla,390,2025,390
2025-02-14,Beans,Retail,Dambulla,380,2025,380
2025-02-15,Beans,Retail,Dambulla,NA,2025,388.3333333333333
2025-02-16,Beans,Retail,Dambulla,NA,2025,396.6666666666667
2025-02-17,Beans,Retail,Dambulla,405,2025,405
2025-02-18,Beans,Retail,Dambulla,310,2025,310
2025-02-19,Beans,Retail,Dambulla,280,2025,280
2025-02-20,Beans,Retail,Dambulla,245,2025,245
2025-02-21,Beans,Retail,Dambulla,180,2025,180
2025-02-22,Beans,Retail,Dambulla,NA,2025,188.33333333333334
2025-02-23,Beans,Retail,Dambulla,NA,2025,196.66666666666666
2025-02-24,Beans,Retail,Dambulla,205,2025,205
2025-02-25,Beans,Retail,Dambulla,190,2025,190
2025-02-26,Beans,Retail,Dambulla,NA,2025,175
2025-02-27,Beans,Retail,Dambulla,160,2025,160
2025-02-28,Beans,Retail,Dambulla,155,2025,155
2025-03-01,Beans,Retail,Dambulla,NA,2025,155
2025-03-02,Beans,Retail,Dambulla,NA,2025,155
2025-03-03,Beans,Retail,Dambulla,155,2025,155
2025-03-04,Beans,Retail,Dambulla,185,2025,185
2025-03-05,Beans,Retail,Dambulla,305,2025,305
2025-03-06,Beans,Retail,Dambulla,355,2025,355
2025-03-07,Beans,Retail,Dambulla,355,2025,355
2025-03-08,Beans,Retail,Dambulla,NA,2025,380
2025-03-09,Beans,Retail,Dambulla,NA,2025,405
2025-03-10,Beans,Retail,Dambulla,430,2025,430
2025-03-11,Beans,Retail,Dambulla,430,2025,430
2025-03-12,Beans,Retail,Dambulla,405,2025,405
2025-03-13,Beans,Retail,Dambulla,NA,2025,355
2025-03-14,Beans,Retail,Dambulla,305,2025,305
2025-03-15,Beans,Retail,Dambulla,NA,2025,396.6666666666667
2025-03-16,Beans,Retail,Dambulla,NA,2025,488.3333333333333
2025-03-17,Beans,Retail,Dambulla,580,2025,580
2025-03-18,Beans,Retail,Dambulla,505,2025,505
2025-03-19,Beans,Retail,Dambulla,520,2025,520
2025-03-20,Beans,Retail,Dambulla,455,2025,455
2025-03-21,Beans,Retail,Dambulla,430,2025,430
2025-03-22,Beans,Retail,Dambulla,NA,2025,471.6666666666667
2025-03-23,Beans,Retail,Dambulla,NA,2025,513.3333333333334
2025-03-24,Beans,Retail,Dambulla,555,2025,555
2025-03-25,Beans,Retail,Dambulla,545,2025,545
2025-03-26,Beans,Retail,Dambulla,480,2025,480
2025-03-27,Beans,Retail,Dambulla,505,2025,505
2025-03-28,Beans,Retail,Dambulla,545,2025,545
2025-03-29,Beans,Retail,Dambulla,NA,2025,560
2025-03-30,Beans,Retail,Dambulla,NA,2025,575
2025-03-31,Beans,Retail,Dambulla,NA,2025,590
2025-04-01,Beans,Retail,Dambulla,605,2025,605
2025-04-02,Beans,Retail,Dambulla,405,2025,405
2025-04-03,Beans,Retail,Dambulla,505,2025,505
2025-04-04,Beans,Retail,Dambulla,455,2025,455
2025-04-05,Beans,Retail,Dambulla,NA,2025,426.6666666666667
2025-04-06,Beans,Retail,Dambulla,NA,2025,398.3333333333333
2025-04-07,Beans,Retail,Dambulla,370,2025,370
2025-04-08,Beans,Retail,Dambulla,505,2025,505
2025-04-09,Beans,Retail,Dambulla,505,2025,505
2025-04-10,Beans,Retail,Dambulla,605,2025,605
2025-04-11,Beans,Retail,Dambulla,655,2025,655
2025-04-12,Beans,Retail,Dambulla,NA,2025,605
2025-04-13,Beans,Retail,Dambulla,NA,2025,555
2025-04-14,Beans,Retail,Dambulla,NA,2025,505
2025-04-15,Beans,Retail,Dambulla,NA,2025,455
2025-04-16,Beans,Retail,Dambulla,405,2025,405
2025-04-17,Beans,Retail,Dambulla,305,2025,305
2025-04-18,Beans,Retail,Dambulla,NA,2025,376.25
2025-04-19,Beans,Retail,Dambulla,NA,2025,447.5
2025-04-20,Beans,Retail,Dambulla,NA,2025,518.75
2025-04-21,Beans,Retail,Dambulla,590,2025,590
2025-04-22,Beans,Retail,Dambulla,355,2025,355
2025-04-23,Beans,Retail,Dambulla,420,2025,420
2025-04-24,Beans,Retail,Dambulla,405,2025,405
2025-04-25,Beans,Retail,Dambulla,440,2025,440
2025-04-26,Beans,Retail,Dambulla,NA,2025,478.3333333333333
2025-04-27,Beans,Retail,Dambulla,NA,2025,516.6666666666666
2025-04-28,Beans,Retail,Dambulla,555,2025,555
2025-04-29,Beans,Retail,Dambulla,555,2025,555
2025-04-30,Beans,Retail,Dambulla,605,2025,605
2025-05-01,Beans,Retail,Dambulla,NA,2025,655
